TOA5,CR1000,CR1000,86673,CR1000.Std.31.03,CPU:Chieppa_8sensors variable voltage.CR1,13783,Quantum,,,,
TIMESTAMP,RECORD,BattV_Min,PanelT,PPF(1),PPF(2),PPF(3),PPF(4),PPF(5),PPF(6),PPF(7),PPF(8)
TS,RN,,,,,,,,,,
,,Min,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
6/7/2024 20:35,84220,13.60837,22.05684,119.6808,139.3426,25.64588,27.3556,26.50074,52.14662,81.21195,125.6648
6/7/2024 20:40,84221,13.6028,21.94614,66.67812,0.8548477,134.2111,248.7607,62.40388,76.08145,82.92023,35.04876
6/7/2024 20:45,84222,13.60313,21.86255,156.4384,38.46847,122.2442,71.80781,134.2122,20.51652,163.2773,189.7778
6/7/2024 20:50,84223,13.60417,21.78121,6.838926,63.26007,121.3909,184.651,129.9396,31.63003,69.24413,126.5201
6/7/2024 20:55,84224,13.60303,21.72473,158.9988,20.51598,157.2892,103.4347,131.6442,77.78976,10.25799,106.8541
6/7/2024 21:00,84225,13.60314,21.80832,6.838939,133.3593,29.06549,153.8761,191.4903,76.0832,82.92213,331.6885
6/7/2024 21:05,84226,13.60406,21.88965,159.0107,75.23084,200.0457,139.348,274.4216,80.36022,164.9949,147.0421
6/7/2024 21:10,84227,13.60362,21.97325,40.17812,76.93681,117.9698,122.244,247.9075,153.8736,70.95284,145.3251
6/7/2024 21:15,84228,13.60984,22.05684,125.6637,152.1642,100.8729,141.9059,158.1481,141.9059,16.24224,172.6807
6/7/2024 21:20,84229,13.60436,22.08395,77.78558,70.94729,108.5579,112.8318,105.1387,42.73933,82.9143,68.38293
6/7/2024 21:25,84230,13.60362,22.05684,38.46565,77.7861,88.04361,141.8955,139.3311,76.07652,150.4435,331.6594
6/7/2024 21:30,84231,13.60316,22.00036,79.49746,123.9476,235.0731,130.7861,81.20708,75.2234,66.67529,121.3832
6/7/2024 21:35,84232,13.60394,21.88965,80.34982,41.88448,23.93399,123.9439,35.90099,33.33663,82.91418,157.2805
6/7/2024 21:40,84233,13.60364,21.75184,47.87056,76.07999,189.7726,162.418,107.7087,2.564494,3.419325,161.5631
6/7/2024 21:45,84234,13.60366,21.78121,81.20642,142.7523,98.30251,96.5929,135.9139,47.86905,82.91603,167.5417
6/7/2024 21:50,84235,13.60915,21.86255,122.2358,42.7398,97.44674,182.9263,117.9618,77.78643,111.1235,180.3619
6/7/2024 21:55,84236,13.60371,21.97325,38.46786,75.22605,96.59708,99.16161,179.5167,76.93573,141.9037,95.74225
6/7/2024 22:00,84237,13.60394,22.05684,158.1416,58.98254,106.8524,158.9964,261.5747,68.38555,82.06267,335.944
6/7/2024 22:05,84238,13.60892,22.11332,0,0.8548443,225.6789,134.2106,0,153.872,4.274221,77.79083
6/7/2024 22:10,84239,13.60323,22.05684,0,0,0,141.0432,0,147.0269,0,0
6/7/2024 22:15,84240,13.60873,21.94614,0,0,0,0,0,0,0,0
6/7/2024 22:20,84241,13.6025,21.83543,0,0,0,0,0,0,0,0
6/7/2024 22:25,84242,13.60405,21.72473,0,0,0,0,0,0,0,0
6/7/2024 22:30,84243,13.60417,21.78121,0,0,0,0,0,0,0,0
6/7/2024 22:35,84244,13.60414,21.86255,0,0,0,0,0,0,0,0
6/7/2024 22:40,84245,13.6099,21.97325,0,0,0,0,0,0,0,0
6/7/2024 22:45,84246,13.60467,22.02973,0,0,0,0,0,0,0,0
6/7/2024 22:50,84247,13.60405,22.05684,0,0,0,0,0,0,0,0
6/7/2024 22:55,84248,13.60362,22.05684,0,0,0,0,0,0,0,0
6/7/2024 23:00,84249,13.60395,21.91903,0,0,0,0,0,0,0,0
6/7/2024 23:05,84250,13.60363,21.80832,0,0,0,0,0,0,0,0
6/7/2024 23:10,84251,13.6043,21.72473,0,0,0,0,0,0,0,0
6/7/2024 23:15,84252,13.60454,21.67051,0,0,0,0,0,0,0,0
