date.time.post,ppf1.ch1.llv,ppf4.ch2.llv,ppf5.ch1.hlv,ppf6.ch2.hlv
8/12/2024 17:20,808.7425,660.8435,344.5277,624.0825
8/12/2024 17:25,743.737,664.2341,646.2818,612.9418
8/12/2024 17:30,573.6102,668.4995,329.9754,332.54
8/12/2024 17:35,397.5045,693.282,518.8929,474.4408
8/12/2024 17:40,395.7891,694.9817,549.6596,594.111
8/12/2024 17:45,423.1337,627.4346,332.5233,357.3129
8/12/2024 17:50,419.7164,538.5363,656.5013,306.0254
8/12/2024 17:55,388.0874,450.4892,349.6206,633.4203
8/12/2024 18:00,367.5815,335.9523,620.6143,630.8724
8/12/2024 18:05,403.48,364.1578,179.5144,214.5624
8/12/2024 18:10,376.9964,367.5929,361.6088,115.4071
8/12/2024 18:15,407.8009,335.9869,190.6491,219.7167
8/12/2024 18:20,418.9036,591.5945,300.0718,379.578
8/12/2024 18:25,370.1636,665.9526,227.3985,303.4829
8/12/2024 18:30,556.532,668.5223,245.3528,215.4317
8/12/2024 18:35,775.3503,627.461,323.9887,119.6792
8/12/2024 18:40,754.8814,389.8368,129.0907,236.8088
8/12/2024 18:45,751.4471,346.2299,467.6241,445.397
8/12/2024 18:50,797.5826,369.2987,121.3898,208.5854
8/12/2024 18:55,747.1555,353.0609,382.1264,114.5524
8/12/2024 19:00,595.8432,343.657,182.0869,236.7985
8/12/2024 19:05,456.4944,451.3653,317.1525,376.1377
8/12/2024 19:10,376.1342,630.0248,246.1969,228.2451
8/12/2024 19:15,419.724,683.0132,222.2571,119.6769
8/12/2024 19:20,396.6532,659.0941,288.0865,253.0374
8/12/2024 19:25,514.6407,686.4727,164.1379,440.2658
8/12/2024 19:30,793.3822,424.9041,468.5059,216.2992
8/12/2024 19:35,755.7553,352.2299,121.3996,117.9799
8/12/2024 19:40,760.0211,365.0495,335.9823,230.8276
8/12/2024 19:45,795.9479,325.7316,215.4445,432.5989
8/12/2024 19:50,717.2419,377.8557,275.2704,205.1705
8/12/2024 19:55,618.9462,485.5821,243.646,116.2661
8/12/2024 20:00,517.1856,624.897,240.2135,272.6978
8/12/2024 20:05,50.43636,370.1516,44.45238,160.7125
8/12/2024 20:10,94.886,234.2231,88.04737,82.06357
8/12/2024 20:15,209.4487,142.7671,158.1551,27.35656
8/12/2024 20:20,183.7939,159.0031,4.274277,71.80786
8/12/2024 20:25,422.2876,64.96732,165.8376,162.4183
8/12/2024 20:30,161.5723,147.8942,83.77823,40.17936
8/12/2024 20:35,53.00164,371.0115,90.61571,81.2122
8/12/2024 20:40,199.1889,186.3656,167.558,12.82332
8/12/2024 20:45,422.343,72.67035,80.36486,62.41101
8/12/2024 20:50,206.8869,147.8985,85.49047,82.07085
8/12/2024 20:55,43.60051,343.6746,110.2836,95.75014
8/12/2024 21:00,211.1569,185.5103,4.27443,162.4283
8/12/2024 21:05,349.6472,43.59904,76.08459,51.29298
8/12/2024 21:10,232.5114,153.8678,84.6273,79.49837
8/12/2024 21:15,187.2066,370.1391,88.04695,2.564474
8/12/2024 21:20,113.6946,170.9694,168.4048,82.06529
8/12/2024 21:25,163.2794,37.6141,70.95387,82.06712
8/12/2024 21:30,421.4313,184.6433,82.06371,147.0308
8/12/2024 21:35,206.88,367.5967,58.13157,160.7167
8/12/2024 21:40,53.0056,165.0013,5.984503,41.89152
8/12/2024 21:45,156.4461,48.72912,54.7134,82.0701
